IDs,pair,both_parsed,full_match,ligand_internal_match,metal_shell_match,mismatch_class
ABAXUY,ILP / CSD,1,1,1,1,full_match
ABAXUY,ILP / NBO(DFT),0,,,,
ABAXUY,ILP / Hückel(DFT),1,1,1,1,full_match
ABAXUY,CSD / NBO(DFT),0,,,,
ABAXUY,CSD / Hückel(DFT),1,1,1,1,full_match
ABAXUY,NBO(DFT) / Hückel(DFT),0,,,,
ABAYUA,ILP / CSD,1,1,1,1,full_match
ABAYUA,ILP / NBO(DFT),0,,,,
ABAYUA,ILP / Hückel(DFT),1,1,1,1,full_match
ABAYUA,CSD / NBO(DFT),0,,,,
ABAYUA,CSD / Hückel(DFT),1,1,1,1,full_match
ABAYUA,NBO(DFT) / Hückel(DFT),0,,,,
ABAZAH,ILP / CSD,1,1,1,1,full_match
ABAZAH,ILP / NBO(DFT),0,,,,
ABAZAH,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZAH,CSD / NBO(DFT),0,,,,
ABAZAH,CSD / Hückel(DFT),1,1,1,1,full_match
ABAZAH,NBO(DFT) / Hückel(DFT),0,,,,
ABAZEK,ILP / CSD,0,,,,
ABAZEK,ILP / NBO(DFT),1,1,1,1,full_match
ABAZEK,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZEK,CSD / NBO(DFT),0,,,,
ABAZEK,CSD / Hückel(DFT),0,,,,
ABAZEK,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAZEL,ILP / CSD,1,1,1,1,full_match
ABAZEL,ILP / NBO(DFT),0,,,,
ABAZEL,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZEL,CSD / NBO(DFT),0,,,,
ABAZEL,CSD / Hückel(DFT),1,1,1,1,full_match
ABAZEL,NBO(DFT) / Hückel(DFT),0,,,,
ABAZIO,ILP / CSD,1,1,1,1,full_match
ABAZIO,ILP / NBO(DFT),1,1,1,1,full_match
ABAZIO,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZIO,CSD / NBO(DFT),1,1,1,1,full_match
ABAZIO,CSD / Hückel(DFT),1,1,1,1,full_match
ABAZIO,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABAZIP,ILP / CSD,1,1,1,1,full_match
ABAZIP,ILP / NBO(DFT),0,,,,
ABAZIP,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZIP,CSD / NBO(DFT),0,,,,
ABAZIP,CSD / Hückel(DFT),1,1,1,1,full_match
ABAZIP,NBO(DFT) / Hückel(DFT),0,,,,
ABAZOU,ILP / CSD,1,1,1,1,full_match
ABAZOU,ILP / NBO(DFT),0,,,,
ABAZOU,ILP / Hückel(DFT),1,1,1,1,full_match
ABAZOU,CSD / NBO(DFT),0,,,,
ABAZOU,CSD / Hückel(DFT),1,1,1,1,full_match
ABAZOU,NBO(DFT) / Hückel(DFT),0,,,,
ABEFOF,ILP / CSD,1,1,1,1,full_match
ABEFOF,ILP / NBO(DFT),1,1,1,1,full_match
ABEFOF,ILP / Hückel(DFT),1,0,0,0,ligand_and_metal
ABEFOF,CSD / NBO(DFT),1,1,1,1,full_match
ABEFOF,CSD / Hückel(DFT),1,0,0,0,ligand_and_metal
ABEFOF,NBO(DFT) / Hückel(DFT),1,0,0,0,ligand_and_metal
ABEFUI,ILP / CSD,1,1,1,1,full_match
ABEFUI,ILP / NBO(DFT),1,1,1,1,full_match
ABEFUI,ILP / Hückel(DFT),1,1,1,1,full_match
ABEFUI,CSD / NBO(DFT),1,1,1,1,full_match
ABEFUI,CSD / Hückel(DFT),1,1,1,1,full_match
ABEFUI,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEGOD,ILP / CSD,1,1,1,1,full_match
ABEGOD,ILP / NBO(DFT),1,0,1,0,metal_only
ABEGOD,ILP / Hückel(DFT),1,0,1,0,metal_only
ABEGOD,CSD / NBO(DFT),1,0,1,0,metal_only
ABEGOD,CSD / Hückel(DFT),1,0,1,0,metal_only
ABEGOD,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEGOG,ILP / CSD,1,1,1,1,full_match
ABEGOG,ILP / NBO(DFT),1,1,1,1,full_match
ABEGOG,ILP / Hückel(DFT),1,1,1,1,full_match
ABEGOG,CSD / NBO(DFT),1,1,1,1,full_match
ABEGOG,CSD / Hückel(DFT),1,1,1,1,full_match
ABEGOG,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEJAS,ILP / CSD,1,1,1,1,full_match
ABEJAS,ILP / NBO(DFT),1,0,1,0,metal_only
ABEJAS,ILP / Hückel(DFT),1,1,1,1,full_match
ABEJAS,CSD / NBO(DFT),1,0,1,0,metal_only
ABEJAS,CSD / Hückel(DFT),1,1,1,1,full_match
ABEJAS,NBO(DFT) / Hückel(DFT),1,0,1,0,metal_only
ABELOK,ILP / CSD,1,1,1,1,full_match
ABELOK,ILP / NBO(DFT),1,1,1,1,full_match
ABELOK,ILP / Hückel(DFT),1,1,1,1,full_match
ABELOK,CSD / NBO(DFT),1,1,1,1,full_match
ABELOK,CSD / Hückel(DFT),1,1,1,1,full_match
ABELOK,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABENIH,ILP / CSD,1,1,1,1,full_match
ABENIH,ILP / NBO(DFT),0,,,,
ABENIH,ILP / Hückel(DFT),1,0,1,0,metal_only
ABENIH,CSD / NBO(DFT),0,,,,
ABENIH,CSD / Hückel(DFT),1,0,1,0,metal_only
ABENIH,NBO(DFT) / Hückel(DFT),0,,,,
ABENRE,ILP / CSD,1,1,1,1,full_match
ABENRE,ILP / NBO(DFT),0,,,,
ABENRE,ILP / Hückel(DFT),1,1,1,1,full_match
ABENRE,CSD / NBO(DFT),0,,,,
ABENRE,CSD / Hückel(DFT),1,1,1,1,full_match
ABENRE,NBO(DFT) / Hückel(DFT),0,,,,
ABEPAA,ILP / CSD,1,1,1,1,full_match
ABEPAA,ILP / NBO(DFT),1,1,1,1,full_match
ABEPAA,ILP / Hückel(DFT),1,1,1,1,full_match
ABEPAA,CSD / NBO(DFT),1,1,1,1,full_match
ABEPAA,CSD / Hückel(DFT),1,1,1,1,full_match
ABEPAA,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEPEE,ILP / CSD,1,1,1,1,full_match
ABEPEE,ILP / NBO(DFT),1,1,1,1,full_match
ABEPEE,ILP / Hückel(DFT),1,1,1,1,full_match
ABEPEE,CSD / NBO(DFT),1,1,1,1,full_match
ABEPEE,CSD / Hückel(DFT),1,1,1,1,full_match
ABEPEE,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABERIK,ILP / CSD,1,1,1,1,full_match
ABERIK,ILP / NBO(DFT),1,1,1,1,full_match
ABERIK,ILP / Hückel(DFT),1,1,1,1,full_match
ABERIK,CSD / NBO(DFT),1,1,1,1,full_match
ABERIK,CSD / Hückel(DFT),1,1,1,1,full_match
ABERIK,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABERUU,ILP / CSD,0,,,,
ABERUU,ILP / NBO(DFT),1,1,1,1,full_match
ABERUU,ILP / Hückel(DFT),1,1,1,1,full_match
ABERUU,CSD / NBO(DFT),0,,,,
ABERUU,CSD / Hückel(DFT),0,,,,
ABERUU,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABESAB,ILP / CSD,0,,,,
ABESAB,ILP / NBO(DFT),1,1,1,1,full_match
ABESAB,ILP / Hückel(DFT),1,1,1,1,full_match
ABESAB,CSD / NBO(DFT),0,,,,
ABESAB,CSD / Hückel(DFT),0,,,,
ABESAB,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABETAF,ILP / CSD,0,,,,
ABETAF,ILP / NBO(DFT),1,1,1,1,full_match
