IDs,pair,both_parsed,connectivity_match,atoms_a,atoms_b,edges_a,edges_b
ABEFOF,ILP / Hückel(DFT),1,0,28,28,31,34
ABEFOF,CSD / NBO(DFT),1,1,28,28,31,31
ABEFOF,CSD / Hückel(DFT),1,0,28,28,31,34
ABEFOF,NBO(DFT) / Hückel(DFT),1,0,28,28,31,34
ABEFUI,ILP / CSD,1,1,30,30,34,34
ABEFUI,ILP / NBO(DFT),1,1,30,30,34,34
ABEFUI,ILP / Hückel(DFT),1,1,30,30,34,34
ABEFUI,CSD / NBO(DFT),1,1,30,30,34,34
ABEFUI,CSD / Hückel(DFT),1,1,30,30,34,34
ABEFUI,NBO(DFT) / Hückel(DFT),1,1,30,30,34,34
ABEGOD,ILP / CSD,1,1,24,24,27,27
ABEGOD,ILP / NBO(DFT),1,0,24,24,27,28
ABEGOD,ILP / Hückel(DFT),1,0,24,24,27,28
ABEGOD,CSD / NBO(DFT),1,0,24,24,27,28
ABEGOD,CSD / Hückel(DFT),1,0,24,24,27,28
ABEGOD,NBO(DFT) / Hückel(DFT),1,1,24,24,28,28
ABEGOG,ILP / CSD,1,1,28,28,33,33
ABEGOG,ILP / NBO(DFT),1,1,28,28,33,33
ABEGOG,ILP / Hückel(DFT),1,1,28,28,33,33
ABEGOG,CSD / NBO(DFT),1,1,28,28,33,33
ABEGOG,CSD / Hückel(DFT),1,1,28,28,33,33
ABEGOG,NBO(DFT) / Hückel(DFT),1,1,28,28,33,33
ABEJAS,ILP / CSD,1,1,45,45,52,52
ABEJAS,ILP / NBO(DFT),1,0,45,45,52,53
ABEJAS,ILP / Hückel(DFT),1,1,45,45,52,52
ABEJAS,CSD / NBO(DFT),1,0,45,45,52,53
ABEJAS,CSD / Hückel(DFT),1,1,45,45,52,52
ABEJAS,NBO(DFT) / Hückel(DFT),1,0,45,45,53,52
ABELOK,ILP / CSD,1,1,28,28,31,31
ABELOK,ILP / NBO(DFT),1,1,28,28,31,31
ABELOK,ILP / Hückel(DFT),1,1,28,28,31,31
ABELOK,CSD / NBO(DFT),1,1,28,28,31,31
ABELOK,CSD / Hückel(DFT),1,1,28,28,31,31
ABELOK,NBO(DFT) / Hückel(DFT),1,1,28,28,31,31
ABENIH,ILP / CSD,1,1,40,40,43,43
ABENIH,ILP / NBO(DFT),0,,40,,43,
ABENIH,ILP / Hückel(DFT),1,0,40,40,43,44
ABENIH,CSD / NBO(DFT),0,,40,,43,
ABENIH,CSD / Hückel(DFT),1,0,40,40,43,44
ABENIH,NBO(DFT) / Hückel(DFT),0,,,40,,44
ABENRE,ILP / CSD,1,1,10,10,9,9
ABENRE,ILP / NBO(DFT),0,,10,,9,
ABENRE,ILP / Hückel(DFT),1,1,10,10,9,9
ABENRE,CSD / NBO(DFT),0,,10,,9,
ABENRE,CSD / Hückel(DFT),1,1,10,10,9,9
ABENRE,NBO(DFT) / Hückel(DFT),0,,,10,,9
ABEPAA,ILP / CSD,1,1,26,26,27,27
ABEPAA,ILP / NBO(DFT),1,1,26,26,27,27
ABEPAA,ILP / Hückel(DFT),1,1,26,26,27,27
ABEPAA,CSD / NBO(DFT),1,1,26,26,27,27
ABEPAA,CSD / Hückel(DFT),1,1,26,26,27,27
ABEPAA,NBO(DFT) / Hückel(DFT),1,1,26,26,27,27
ABEPEE,ILP / CSD,1,1,26,26,27,27
ABEPEE,ILP / NBO(DFT),1,1,26,26,27,27
ABEPEE,ILP / Hückel(DFT),1,1,26,26,27,27
ABEPEE,CSD / NBO(DFT),1,1,26,26,27,27
ABEPEE,CSD / Hückel(DFT),1,1,26,26,27,27
ABEPEE,NBO(DFT) / Hückel(DFT),1,1,26,26,27,27
ABERIK,ILP / CSD,1,1,32,32,35,35
ABERIK,ILP / NBO(DFT),1,1,32,32,35,35
ABERIK,ILP / Hückel(DFT),1,1,32,32,35,35
ABERIK,CSD / NBO(DFT),1,1,32,32,35,35
ABERIK,CSD / Hückel(DFT),1,1,32,32,35,35
ABERIK,NBO(DFT) / Hückel(DFT),1,1,32,32,35,35
ABERUU,ILP / CSD,0,,38,,45,
ABERUU,ILP / NBO(DFT),1,1,38,38,45,45
ABERUU,ILP / Hückel(DFT),1,1,38,38,45,45
ABERUU,CSD / NBO(DFT),0,,,38,,45
ABERUU,CSD / Hückel(DFT),0,,,38,,45
ABERUU,NBO(DFT) / Hückel(DFT),1,1,38,38,45,45
ABESAB,ILP / CSD,0,,42,,50,
ABESAB,ILP / NBO(DFT),1,1,42,42,50,50
ABESAB,ILP / Hückel(DFT),1,1,42,42,50,50
ABESAB,CSD / NBO(DFT),0,,,42,,50
ABESAB,CSD / Hückel(DFT),0,,,42,,50
ABESAB,NBO(DFT) / Hückel(DFT),1,1,42,42,50,50
ABETAF,ILP / CSD,0,,11,,12,
ABETAF,ILP / NBO(DFT),1,1,11,11,12,12
ABETAF,ILP / Hückel(DFT),1,1,11,11,12,12
ABETAF,CSD / NBO(DFT),0,,,11,,12
ABETAF,CSD / Hückel(DFT),0,,,11,,12
ABETAF,NBO(DFT) / Hückel(DFT),1,1,11,11,12,12
ABETIK,ILP / CSD,0,,52,,66,
ABETIK,ILP / NBO(DFT),0,,52,,66,
ABETIK,ILP / Hückel(DFT),1,0,52,52,66,65
ABETIK,CSD / NBO(DFT),0,,,,,
ABETIK,CSD / Hückel(DFT),0,,,52,,65
ABETIK,NBO(DFT) / Hückel(DFT),0,,,52,,65
ABETOQ,ILP / CSD,0,,54,,68,
ABETOQ,ILP / NBO(DFT),1,0,54,54,68,70
ABETOQ,ILP / Hückel(DFT),1,0,54,54,68,67
ABETOQ,CSD / NBO(DFT),0,,,54,,70
ABETOQ,CSD / Hückel(DFT),0,,,54,,67
ABETOQ,NBO(DFT) / Hückel(DFT),1,0,54,54,70,67
ABEVAG,ILP / CSD,1,1,19,19,18,18
ABEVAG,ILP / NBO(DFT),0,,19,,18,
ABEVAG,ILP / Hückel(DFT),1,1,19,19,18,18
ABEVAG,CSD / NBO(DFT),0,,19,,18,
ABEVAG,CSD / Hückel(DFT),1,1,19,19,18,18
ABEVAG,NBO(DFT) / Hückel(DFT),0,,,19,,18
ABEVAH,ILP / CSD,0,,30,,33,
ABEVAH,ILP / NBO(DFT),1,1,30,30,33,33
ABEVAH,ILP / Hückel(DFT),1,1,30,30,33,33
ABEVAH,CSD / NBO(DFT),0,,,30,,33
ABEVAH,CSD / Hückel(DFT),0,,,30,,33
ABEVAH,NBO(DFT) / Hückel(DFT),1,1,30,30,33,33
ABEVEL,ILP / CSD,0,,34,,37,
ABEVEL,ILP / NBO(DFT),1,1,34,34,37,37
ABEVEL,ILP / Hückel(DFT),1,1,34,34,37,37
ABEVEL,CSD / NBO(DFT),0,,,34,,37
ABEVEL,CSD / Hückel(DFT),0,,,34,,37
ABEVEL,NBO(DFT) / Hückel(DFT),1,1,34,34,37,37
ABEWOT,ILP / CSD,1,1,40,40,51,51
ABEWOT,ILP / NBO(DFT),1,1,40,40,51,51
ABEWOT,ILP / Hückel(DFT),1,1,40,40,51,51
ABEWOT,CSD / NBO(DFT),1,1,40,40,51,51
ABEWOT,CSD / Hückel(DFT),1,1,40,40,51,51
ABEWOT,NBO(DFT) / Hückel(DFT),1,1,40,40,51,51
ABEWUZ,ILP / CSD,1,1,40,40,51,51
ABEWUZ,ILP / NBO(DFT),1,1,40,40,51,51
ABEWUZ,ILP / Hückel(DFT),1,1,40,40,51,51
ABEWUZ,CSD / NBO(DFT),1,1,40,40,51,51
ABEWUZ,CSD / Hückel(DFT),1,1,40,40,51,51
ABEWUZ,NBO(DFT) / Hückel(DFT),1,1,40,40,51,51
ABEXAG,ILP / CSD,1,1,28,28,35,35
ABEXAG,ILP / NBO(DFT),1,1,28,28,35,35
ABEXAG,ILP / Hückel(DFT),1,1,28,28,35,35
ABEXAG,CSD / NBO(DFT),1,1,28,28,35,35
ABEXAG,CSD / Hückel(DFT),1,1,28,28,35,35
ABEXAG,NBO(DFT) / Hückel(DFT),1,1,28,28,35,35
ABEXOU,ILP / CSD,1,1,24,24,29,29
ABEXOU,ILP / NBO(DFT),0,,24,,29,
ABEXOU,ILP / Hückel(DFT),1,1,24,24,29,29
ABEXOU,CSD / NBO(DFT),0,,24,,29,
ABEXOU,CSD / Hückel(DFT),1,1,24,24,29,29
ABEXOU,NBO(DFT) / Hückel(DFT),0,,,24,,29
ABEXUA,ILP / CSD,1,1,27,27,38,38
ABEXUA,ILP / NBO(DFT),0,,27,,38,
ABEXUA,ILP / Hückel(DFT),1,1,27,27,38,38
ABEXUA,CSD / NBO(DFT),0,,27,,38,
ABEXUA,CSD / Hückel(DFT),1,1,27,27,38,38
ABEXUA,NBO(DFT) / Hückel(DFT),0,,,27,,38
ABEYUD,ILP / CSD,1,1,26,26,28,28
ABEYUD,ILP / NBO(DFT),1,1,26,26,28,28
ABEYUD,ILP / Hückel(DFT),1,1,26,26,28,28
ABEYUD,CSD / NBO(DFT),1,1,26,26,28,28
ABEYUD,CSD / Hückel(DFT),1,1,26,26,28,28
ABEYUD,NBO(DFT) / Hückel(DFT),1,1,26,26,28,28
ABEZAJ,ILP / CSD,1,1,33,33,37,37
ABEZAJ,ILP / NBO(DFT),1,1,33,33,37,37
ABEZAJ,ILP / Hückel(DFT),1,1,33,33,37,37
ABEZAJ,CSD / NBO(DFT),1,1,33,33,37,37
ABEZAJ,CSD / Hückel(DFT),1,1,33,33,37,37
ABEZAJ,NBO(DFT) / Hückel(DFT),1,1,33,33,37,37
ABEZEO,ILP / CSD,1,1,26,26,28,28
ABEZEO,ILP / NBO(DFT),1,1,26,26,28,28
ABEZEO,ILP / Hückel(DFT),1,1,26,26,28,28
ABEZEO,CSD / NBO(DFT),1,1,26,26,28,28
ABEZEO,CSD / Hückel(DFT),1,1,26,26,28,28
ABEZEO,NBO(DFT) / Hückel(DFT),1,1,26,26,28,28
ABEZIS,ILP / CSD,1,1,26,26,28,28
ABEZIS,ILP / NBO(DFT),1,1,26,26,28,28
ABEZIS,ILP / Hückel(DFT),1,1,26,26,28,28
ABEZIS,CSD / NBO(DFT),1,1,26,26,28,28
