IDs,ox_ilp,ox_reference,ilp_ligands,reference_ligands
UDOCAT,2,0,CC(C)P(C(C)C)C(C)C || [C-2]=C=C(OC)N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC(C)P(C(C)C)C(C)C || [C-]#CC(OC)=[N+](C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
UDODAU,2,0,CP(C)C || [C-2]=C=C(N(C)C)N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CP(C)C || [C-]#CC(N(C)C)=[N+](C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
UNAMIF,2,0,CCN([C-2]C(C)=C1OC(C2COC(C)(C)O2)C2OC(C)(C)OC12)CC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CCN([C]C(C)=C1OC(C2COC(C)(C)O2)C2OC(C)(C)OC12)CC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
UNANAY,2,0,CC([C-2]N(Cc1ccccc1)N(C)C)C1CCCC(=O)C1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC([C]N(Cc1ccccc1)N(C)C)C1CCCC(=O)C1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
UNANEC,2,0,CC([C-2]N(Cc1ccccc1)N(C)C)C(CC(=O)c1ccccc1)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC([C]N(Cc1ccccc1)N(C)C)C(CC(=O)c1ccccc1)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
VAKXOU,0,0,CC(C)(C)p1[n-][s+]ns[nH]1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC(C)(C)P1N=S=NSN1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
VENZOF,1,1,O=Cc1ccc[n-]1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccncc1,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [O-]C=C1C=CC=N1 || c1ccncc1
VESMUB,3,1,CP(C)C || CP(C)C || Cc1ccc([C-2]N([O-])C(C)(C)C)cc1 || [C-]#[O+] || [C-]#[O+],CP(C)C || CP(C)C || Cc1ccc([C]N([O-])C(C)(C)C)cc1 || [C-]#[O+] || [C-]#[O+]
VIHHUS,1,1,CCN(c1cccc(=[N+](CC)P(C(C)C)C(C)C)[cH-]1)P(C(C)C)C(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CCN(c1cccc(N(CC)P(C(C)C)C(C)C)c1)P(C(C)C)C(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
WEDXIM,2,0,F[C-2]N1CCC(c2ccccc2)CC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],F[C]N1CCC(c2ccccc2)CC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
WEHFEW,2,0,CSC(=Nc1ccccc1)C(C)[C-2]N1CCCC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CSC(=Nc1ccccc1)C(C)[C]N1CCCC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
WENPIR,1,1,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(c2ccccc2)c2ccccc2)cc1 || c1ccc([Si-]c2ccccc2)cc1,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(c2ccccc2)c2ccccc2)cc1 || c1ccc([SiH-]c2ccccc2)cc1
WIHTAI,0,0,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [CH2-]c1n(C)c(C)c(C)[n+]1C,C=C1N(C)C(C)=C(C)N1C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
XEFQOP,4,2,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [Cl-],[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [Cl-] || c1cnc2c(c1)ccc1cccnc12
XETQEU,6,0,C[B-2]1N(C)[B-2](C)N(C)[B-2](C)N1C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CB1N(C)B(C)N(C)B(C)N1C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
XUHTIF,2,0,[C-2](NC1CCCCC1)c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C](NC1CCCCC1)c1ccco1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1
XUTLEE,2,0,N[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],N[C]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
YASPAM,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || [C-]#[O+] || [Cl-] || c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[C-]#[O+] || [Cl-] || c1ccc(-c2ccccn2)nc1 || c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
YIYCEP,2,0,Cc1c([C-2]N(C)C)cccc1C(=O)OC(C)c1cccc2ccccc12 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],Cc1c([C]N(C)C)cccc1C(=O)OC(C)c1cccc2ccccc12 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
YIYCIT,2,0,Cc1ccc(C(=O)OC(C)c2cccc3ccccc23)cc1[C-2]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],Cc1ccc(C(=O)OC(C)c2cccc3ccccc23)cc1[C]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
YIYCOZ,2,0,CC(C)c1ccc(C(=O)OC(C)c2cccc3ccccc23)cc1[C-2]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC(C)c1ccc(C(=O)OC(C)c2cccc3ccccc23)cc1[C]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
YOJMEP,4,2,CC(C)[N-]C=C[N-]C(C)C || [C-]#[O+] || [C-]#[O+] || [I-] || [I-],CC(C)N=CC=NC(C)C || [C-]#[O+] || [C-]#[O+] || [I-] || [I-]
YOQJAR,2,0,CN(C)[C-2]c1cccn1C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)[C]c1cccn1C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
YUCKOW,2,0,O=c1n(-c2ccccc2)c([N-]c2ccccc2)c([N-]c2ccccc2)n1-c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],O=C1N(c2ccccc2)C(=Nc2ccccc2)C(=Nc2ccccc2)N1c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
YUJPOI,0,0,CC(C)N(C(C)C)P([N-][S+]=NC(C)(C)C)N(C(C)C)C(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC(C)N(C(C)C)P(N=S=NC(C)(C)C)N(C(C)C)C(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
ZANHIF,2,0,C[C-2]N1CCSC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C]N1CCSC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
ZIKCOL,2,0,CN(C)C(=C[C-2]N)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)C(=C[C]N)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
ZIRVED,3,1,Cn1c[n+](C)c2c3c(c4c(c21)=CC=C[N-]4)[N-]C=CC=3 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [Cl-],Cn1c[n+](C)c2c3cccnc3c3ncccc3c21 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [Cl-]
ZONTAX,4,2,CC(C)(C)N[C-2]c1ccccc1 || CP(C)c1ccccc1 || CP(C)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [CH2-]C(=O)OCC,CC(C)(C)N[C]c1ccccc1 || CP(C)c1ccccc1 || CP(C)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [CH2-]C(=O)OCC
