IDs,xyz2mol_status,error_type,elapsed_s,ilp_seconds,n_atoms
LEZWAO,fail,ArgumentError,,0.1809,77
LIBHOT,fail,ArgumentError,,0.1077,45
LIBHUZ,fail,ArgumentError,,0.1152,41
LIBWIE,fail,AttributeError,,0.3208,75
LICFUB,fail,AttributeError,,0.3657,55
LIFXOQ,fail,ArgumentError,,0.2995,39
LIKXIN,fail,AttributeError,,0.1172,77
LILCAL,fail,ArgumentError,,0.1544,67
LIMBAL,fail,ArgumentError,,0.0794,75
LIRLAZ,fail,ArgumentError,,0.2191,75
LIRLED,fail,ArgumentError,,0.1470,69
LIWQOY,fail,ArgumentError,,0.0962,70
LOCGAL,fail,AttributeError,,0.1239,82
LODVOQ,fail,AttributeError,,0.1137,74
LUJFUR,fail,ArgumentError,,0.8169,69
LUKYEV,fail,AttributeError,,0.4176,62
LUNRIX,invalid_charge,invalid_charge,,0.1008,19
LUQNIV,fail,AttributeError,,0.4565,85
MAFMUE,fail,mol_is_none,44.841,0.1947,47
MAMNOE,fail,ArgumentError,,0.1050,74
MAQWEG,fail,AttributeError,,0.4052,55
MASSEH,fail,AttributeError,,0.1589,58
MASSUX,fail,AttributeError,,0.1098,73
MIDLIW,fail,IndexError,,0.4398,36
MIJTUV,fail,AttributeError,,0.1164,67
MIKWIO,timeout,timeout,300.0,0.2417,73
MITYUL,fail,ArgumentError,,0.1349,57
MIWFAB,fail,AttributeError,,0.1272,61
MIYWUM,fail,ArgumentError,,0.0586,52
MIZXIF,fail,mol_is_none,0.2935,0.0665,82
MOGFAQ,timeout,timeout,300.0,0.1277,75
MOHSIN,fail,AttributeError,,0.0662,46
MOMQUB,fail,AttributeError,,0.3806,76
MOQQEO,fail,ArgumentError,,0.4066,51
MULYIC,timeout,timeout,300.0,0.5162,73
MULZIC,fail,ArgumentError,,0.1576,59
MUNFOR,fail,AttributeError,,0.4380,66
MUTSOL,fail,AttributeError,,0.0939,73
MUTTEC,fail,AttributeError,,0.0971,75
MUZNIE,fail,mol_is_none,0.11,0.0716,58
MYNBCO,fail,mol_is_none,0.2926,0.0540,45
NAGXOL,fail,IndexError,,0.2905,78
NAHXID,fail,mol_is_none,0.1165,0.0473,45
NAJVUS,fail,AttributeError,,0.1866,71
NASHIY,fail,mol_is_none,0.0836,0.1202,82
NATZOZ,fail,AttributeError,,0.0756,51
NAWHEA,fail,ArgumentError,,0.0744,51
NAWHIE,fail,ArgumentError,,0.1256,54
NAXDOI,fail,ArgumentError,,0.3322,81
NECLUD,fail,ArgumentError,,0.2327,44
NEXVAN,timeout,timeout,300.0,0.3645,60
NEZXUL,fail,ArgumentError,,0.1405,53
NICCIM,fail,ArgumentError,,0.1339,76
NIGLEW,fail,KekulizeException,,0.3283,81
NIVFUV,fail,ArgumentError,,0.3631,47
NIVGAC,fail,ArgumentError,,0.3638,45
NOFKOJ,fail,ArgumentError,,0.1020,38
NOFNUR,timeout,timeout,300.0,0.4211,73
NOLPIN,fail,mol_is_none,0.2301,0.0678,64
NONHUU,fail,ArgumentError,,0.0802,65
NOSHEI,fail,ArgumentError,,0.3686,63
NOSHIM,fail,ArgumentError,,0.4486,83
NOSHOS,fail,ArgumentError,,0.4494,71
NOTPIV,timeout,timeout,300.0,0.1070,41
NOYYIJ,timeout,timeout,300.0,0.3547,57
NOZROJ,fail,ArgumentError,,0.1115,66
NUHPIR,timeout,timeout,300.0,1.0631,75
NUWWAD,fail,ArgumentError,,0.8054,85
ODAKUZ,fail,mol_is_none,0.0921,0.0549,52
ODUBAS,fail,ArgumentError,,0.1355,71
ODUNIM,fail,AttributeError,,0.1054,66
OFOBEQ,fail,AttributeError,,0.4208,67
OKAPEX,fail,ArgumentError,,0.1182,76
OKAPIB,fail,ArgumentError,,0.2300,73
OLITUZ,fail,ArgumentError,,0.1782,67
OMEYUA,timeout,timeout,300.0,0.3377,77
OPEVIP,timeout,timeout,300.0,0.5742,84
OPUPUL,fail,KekulizeException,,0.3558,48
OTAXUD,fail,ArgumentError,,0.0629,44
OTAYAK,fail,ArgumentError,,0.0920,37
OWUZEN,fail,mol_is_none,0.6887,0.3769,79
OXEZUN,fail,ArgumentError,,0.0816,65
OXIBAZ,fail,ArgumentError,,0.0823,68
OYOLUK,fail,ArgumentError,,0.1815,47
OZOKAQ,fail,AttributeError,,0.0855,74
PACCUT,fail,mol_is_none,0.0665,0.1111,45
PADQOA,fail,AtomValenceException,,0.6114,34
PADQUG,fail,AtomValenceException,,0.5507,34
PASLON,fail,AttributeError,,0.1278,53
PAYPOU,fail,AttributeError,,0.0794,30
PAYPUA,fail,AttributeError,,0.1036,37
PBPNEP,fail,ArgumentError,,0.0862,64
PCPCOS,timeout,timeout,300.0,0.2378,70
PEPPAE,fail,ArgumentError,,0.1442,75
PEVDAV,fail,ArgumentError,,0.1352,84
PIWNUH,fail,ArgumentError,,0.1327,80
PIWPAP,fail,ArgumentError,,0.1317,83
PIWPOD,fail,ArgumentError,,0.1120,74
PIWPUJ,fail,ArgumentError,,0.1308,77
PIXKEP,fail,AttributeError,,0.1146,64
PIYSEV,fail,ArgumentError,,0.5585,71
POFLED,timeout,timeout,300.0,0.5058,58
POQKOY,fail,mol_is_none,0.2597,0.2046,62
PUNTAV,fail,AtomValenceException,,0.1223,66
PUPNIZ,fail,ArgumentError,,0.1782,44
PUPNOF,fail,ArgumentError,,0.2117,47
QADTEX,timeout,timeout,300.0,0.7389,66
QADTIB,timeout,timeout,300.0,0.5502,69
QADTOH,timeout,timeout,300.0,0.5076,74
QAHGUC,fail,ArgumentError,,0.1778,53
QAHZII,fail,AttributeError,,0.5090,52
QECFUZ,fail,AttributeError,,0.0836,56
QEDBOT,fail,ArgumentError,,0.0997,79
QEJSEG,fail,KekulizeException,,0.1433,63
QEKLAU,fail,AttributeError,,0.1303,66
QIDKIZ,timeout,timeout,300.0,0.0466,39
QIDKUL,timeout,timeout,300.0,0.0615,59
QIDZUY,fail,AttributeError,,0.1050,67
QIJWIS,fail,AttributeError,,0.0465,43
QIZREZ,fail,ArgumentError,,0.5449,84
QOQGEK,fail,AtomValenceException,,0.1605,81
QOQGIO,fail,AtomValenceException,,0.1494,66
QOQGUA,fail,AtomValenceException,,0.1388,72
QUBPIM,fail,AttributeError,,0.0619,46
