IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
CEQRIZ,0,ok,0.075537,78,1,,[Ru]12345678(<-B9(C([H])([H])C([H])([H])[H])C1(C([H])([H])[H])B->2(C([H])([H])C([H])([H])[H])C->3(C([H])([H])C([H])([H])[H])=C->49C([H])([H])C([H])([H])[H])(<-[C-]#[N+]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-[C+]1(C([H])([H])[H])C->5(C([H])([H])[H])=C->6(C([H])([H])[H])C->7(C([H])([H])[H])=C->81C([H])([H])[H]
CERQAT,0,ok,0.071563,75,1,,C1(->[Au+]Cl)N(c2c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H]
CERWIH,0,ok,0.081200,55,1,,[Pd+2]1(Cl)(Cl)[C+](N(c2c(C([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])[H])[H])c2c(N(C->1N(c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])[H])[H])c([H])c([H])c([H])c2[H]
CHVICR,0,ok,0.028748,40,1,,[Cr](<-[C-]#[O+])(C(C(=C([H])[H])OC([H])([H])[H])=[N+](C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[H])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
CIFPUE,0,ok,0.119096,72,1,,C12([H])->[Ru]3456(<-[C+]1([H])C->3([H])=C->4([H])C->5=2[H])(<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])[c+]1c([H])c([H])c([H])c([H])n1C([H])=C6c1c([H])c([H])c(C(F)(F)F)c([H])c1[H]
CIFQEP,1,ok,0.116475,70,1,,[C+]12([H])->[Ru]34567(<-C1([H])=C->3([H])C->4([H])=C->52[H])([c+]1c([H])c([H])c([H])c([H])n1C->6([H])=C->7([H])c1c([H])c([H])c([H])c([H])c1[H])<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
CIFTOB,0,ok,0.027722,29,1,,[Au+3](Cl)(<-[c-]1[n+](C([H])([H])[H])n(C([H])([H])[H])c(-c2c([H])c([H])c([H])c([H])c2[H])c1[H])(Cl)Cl
CIJWUN,0,ok,0.050740,67,1,,[Cr]1(<-N(=C2C(=N->1C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C(OC([H])([H])[H])(C([H])([H])[H])C2(OC([H])([H])[H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
CIMLUG,0,ok,0.040064,55,1,,[Ir+](Cl)(C1=[N+](C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])(<-[C-]#[O+])<-[C-]#[O+]
CIMMER,0,ok,0.067122,84,1,,C1([Pt]23(<-C4([H])=C->2([H])C2([H])C([H])([H])C([H])([H])C4([H])C2([H])[H])<-C2([H])=C->3([H])C3([H])C([H])([H])C([H])([H])C2([H])C3([H])[H])=[N+](C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
CIVLUP,0,ok,0.140842,78,1,,C(#N)C(C#N)=C(C(=c1c([H])c([H])c(=C(C#N)C#N)c([H])c1[H])[Ni]1234(<-C5([H])=C->1([H])[C+]->2([H])C->3([H])=C->45[H])<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
COFTUN,0,ok,0.056219,59,1,,[Pd+2](I)(I)(C(=[N+]([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1c(N([H])C(C([H])([H])[H])=C([H])C(C([H])([H])[H])=O)c([H])c([H])c([H])c1[H])<-[C-]#[N+]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
COHMIW,1,ok,0.028262,35,1,,[Au+](C(=[N+]([H])C([H])([H])[H])N([H])C([H])([H])C(O[H])([H])[H])C(N([H])C([H])([H])[H])=[N+]([H])C([H])([H])C(O[H])([H])[H]
COSJEB,0,ok,0.065078,59,1,,[Pd+2]1(Cl)(Cl)<-N(=C2C([H])=C(O[H])C(N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])=C([H])C2=N->1c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
COYMAF,0,ok,0.170516,85,1,,[Ni+2]123<-N4=C5C(C([H])([H])C([H])([H])[H])=C(C([H])([H])C([H])([H])[H])C4=C([H])c4n1c(c(C([H])([H])C([H])([H])[H])c4C([H])([H])C([H])([H])[H])C1=N->2C(=C([H])C([H])=C([H])c2n3c5c(C([H])([H])C([H])([H])[H])c2C([H])([H])C([H])([H])[H])C(C([H])([H])C([H])([H])[H])=C1C([H])([H])C([H])([H])[H]
CPMNTI,0,ok,0.554834,29,1,,C1(C(C#N)=S->[Ti+2]23456789(<-C%10([H])=C->2([H])C3([H])C->4([H])=C->5%10[H])(<-C2([H])=C->6([H])C7([H])C->8([H])=C->92[H])<-S=1)C#N
CUKROR,-1,ok,0.083277,54,1,,[Pd+2]1(Cl)(Cl)<-P(c2c(C3=N->1c1c(c([H])c(C([H])([H])[H])c([H])c1[H])P3([O-])=O)c([H])c([H])c([H])c2[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
CUSBID,-1,ok,0.079957,42,1,,[Mo+2]12([Se]c3c([H])c([H])c([H])c([H])c3[H])(<-S=C(C#N)C(=S->1)C#N)(=O)<-n1c([H])c([H])c([H])c([H])c1-c1n->2c([H])c([H])c([H])c1[H]
CUSBOJ,-1,ok,0.080922,44,1,,[Mo+2]12([Se]c3c([H])c([H])c([H])c([H])c3[H])(<-S=C(C(=S->1)C#N)C#N)(=O)<-n1c([H])c([H])c([H])c3c1c1n->2c([H])c([H])c([H])c1c([H])c3[H]
